gene_id,R16b,T_M2,T_M4C,T_M5,T_M7,T_R11B,T_R15B,T_R9D
plut2.m8.21036,11,510,1082,203,319,40,45,12
plut2.m8.21037,121,521,546,222,528,171,211,122
plut2.m8.21030,44,196,189,12,679,38,106,52
plut2.m8.21031,1047,2661,2653,1207,3570,1024,1508,805
plut2.m8.21032,70,173,23,38,16,22,124,30
plut2.m8.21033,1936,8006,5408,3846,9417,1831,2809,1726
plut2.m8.21038,2397,3620,1632,1918,3326,1571,3580,1668
plut2.m8.21039,544,1441,2952,716,2418,488,1001,436
jamg1.TU.Sc0000691.1,1203,1443,242,661,1410,731,281,71
jamg1.TU.Sc0000691.2,257,65,75,73,104,28,175,136
jamg1.TU.xpSc0007261.7,0,18,7,7,24,1,9,1
plut2.m8.228,5080,6153,7748,3732,7116,3194,8762,5806
jamg1.TU.xpSc0007261.4,0,1,2,0,0,2,0,3
plut2.m8.226,135,623,78,486,1365,358,2370,493
plut2.m8.227,692,1154,858,658,1566,500,729,1070
plut2.m8.224,1522,2949,2271,1219,2462,1382,1538,1141
jamg1.TU.xpSc0007261.8,1,0,0,1,0,0,0,0
plut2.m8.222,701,123,829,81,348,642,2110,282
plut2.m8.223,795,1740,1499,1209,2645,770,1553,545
plut2.m8.220,1407,1981,1284,1218,2600,1152,1921,1001
plut2.m8.221,12941,25202,34042,16261,28927,9336,12447,6863
plut2.m8.18715,1067,2656,283,77,478,394,1357,306
plut2.m8.17966,9502,24947,15253,5565,22969,6890,8937,3478
plut2.m8.18717,77,59,22,73,177,206,360,233
plut2.m8.17964,182,22,0,23,65,244,254,96
plut2.m8.17963,1621,403,242,158,212,544,633,145
plut2.m8.18710,12,160,75,206,161,50,29,25
plut2.m8.17961,1676,661,396,318,1140,2040,1764,1015
plut2.m8.18712,31,885,620,121,979,358,728,57
plut2.m8.18719,402,476,405,254,988,178,15,317
plut2.m8.18718,338,134,52,109,155,248,200,397
plut2.m8.17969,7786,6203,4906,2077,8602,3834,6330,3961
plut2.m8.17968,5815,3514,2281,1094,2364,2191,2918,1504
plut2.m8.24648,13512,29159,20870,18225,39981,16004,26514,16635
plut2.m8.24649,239,600,832,432,759,333,633,330
plut2.m8.24644,1456,955,5600,595,1119,622,3999,852
plut2.m8.24645,126,676,793,502,1282,200,205,75
jamg1.TU.Sc0000021.96,29,0,5,0,0,0,12,55
plut2.m8.24647,177,110,42,24,262,129,115,383
plut2.m8.24640,459,204,389,123,134,203,1163,259
plut2.m8.24641,893,1815,5035,887,857,2555,3954,2013
